provider,region_code,region_name,city,country,continent
GCP,asia-northeast3,asia-northeast3,Seoul,South Korea,APAC
GCP,asia-south1,asia-south1,Mumbai,India,APAC
GCP,asia-south2,asia-south2,Delhi,India,APAC
GCP,asia-southeast1,asia-southeast1,Jurong West,Singapore,APAC
GCP,asia-southeast2,asia-southeast2,Jakarta,Indonesia,APAC
GCP,asia-southeast3,asia-southeast3,Bangkok,Thailand,APAC
GCP,australia-southeast1,australia-southeast1,Sydney,Australia,APAC
GCP,australia-southeast2,australia-southeast2,Melbourne,Australia,APAC
GCP,europe-north1,europe-north1,Hamina,Finland,Europe
GCP,europe-north2,europe-north2,Stockholm,Sweden,Europe
GCP,europe-central2,europe-central2,Warsaw,Poland,Europe
GCP,europe-southwest1,europe-southwest1,Madrid,Spain,Europe
GCP,europe-west1,europe-west1,St. Ghislain,Belgium,Europe
GCP,europe-west2,europe-west2,London,England,Europe
GCP,europe-west3,europe-west3,Frankfurt,Germany,Europe
GCP,europe-west4,europe-west4,Eemshaven,Netherlands,Europe
GCP,europe-west6,europe-west6,Zurich,Switzerland,Europe
GCP,europe-west8,europe-west8,Milan,Italy,Europe
GCP,europe-west9,europe-west9,Paris,France,Europe
GCP,europe-west10,europe-west10,Berlin,Germany,Europe
GCP,europe-west12,europe-west12,Turin,Italy,Europe
GCP,me-central1,me-central1,Doha,Qatar,Middle East
GCP,me-central2,me-central2,Dammam,Saudi Arabia,Middle East
GCP,me-west1,me-west1,Tel Aviv,Israel,Middle East
GCP,northamerica-northeast1,northamerica-northeast1,Montréal,Québec,North America
GCP,northamerica-northeast2,northamerica-northeast2,Toronto,Ontario,North America
GCP,northamerica-south1,northamerica-south1,Queretaro,Mexico,North America
GCP,southamerica-east1,southamerica-east1,Osasco,São Paulo,Brazil
GCP,southamerica-west1,southamerica-west1,Santiago,Chile,South America
GCP,us-central1,us-central1,Council Bluffs,Iowa,North America
GCP,us-east1,us-east1,Moncks Corner,South Carolina,North America
GCP,us-east4,us-east4,Ashburn,Virginia,North America
GCP,us-east5,us-east5,Columbus,Ohio,North America
GCP,us-south1,us-south1,Dallas,Texas,North America
GCP,us-west1,us-west1,The Dalles,Oregon,North America
GCP,us-west2,us-west2,Los Angeles,California,North America
GCP,us-west3,us-west3,Salt Lake City,Utah,North America
GCP,us-west4,us-west4,Las Vegas,Nevada,North America
